gvkey,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
6266,3031,223593.12164643,207942.307032929,139382.127311242,49237.1533840062,139382.127311242,347264.896219996,1.13551550139731,3.03442840241428
6268,937,51378.9716942391,51347.4598069996,33817.9396429825,6050.16321109877,33817.9396429825,68486.7288624538,-0.479637721396338,3.12037628664123
6307,402,12553.6215817059,10649.2559445337,6972.11128645028,6261.79107808422,6972.11128645028,30062.6570320602,1.83507838631416,5.14187204578251
6334,517,5526.71247110132,5526.4745003736,3996.38809047854,465.969246066797,3996.38809047854,6257.237064224,-0.53577476524269,3.25279647578026
6335,343,3503.24711791608,3608.23154685352,2086.92099694337,435.285170142063,2086.92099694337,4352.92816328877,-1.29432249693985,4.65619481398228
6338,1661,4671.7218471096,4634.2594882108,3986.49634418151,601.210928709676,3759.10489489862,6283.59575612401,0.482350860405272,2.38339719424416
6375,3506,25291.4144909183,25277.8912878952,13397.6436575968,4451.91989315765,13397.6436575968,39659.6477600912,0.519752886930738,3.48116078107264
6435,2163,35176.1786375526,35330.4025987478,26802.902915763,2866.04004527831,26802.902915763,40618.2329589067,-0.418204266772884,2.48418545076257
6494,4470,46730.7100707547,35693.0878759299,16520.0832223884,27592.1887012445,16520.0832223884,144813.357490577,1.68228727759117,4.96956069229325
6502,3700,30396.4429454241,27788.8842801876,19377.6313681359,8313.46565286588,19377.6313681359,60767.1656907286,1.92469793252799,6.08922642342625
6506,3505,71709.0712661864,64963.4234153351,21338.8296522398,26808.3600565903,21338.8296522398,140697.865014106,0.279498837687773,1.9358172389032
6512,737,19877.4055017484,20140.1698142705,15187.5518480343,1790.64172633823,15187.5518480343,24443.1378473125,-0.176515998813734,2.76355973090515
6529,399,4364.32596138335,4523.72108479702,2806.94502755101,667.989390408075,2806.94502755101,5545.97466764505,-0.547827980439224,2.3298208743206
6649,1772,5033.4992245183,5223.28135618524,2613.53604324028,1035.00840549603,2613.53604324028,7206.56649297464,-0.0516869360038029,2.1634345843502
6653,1984,11150.7415054745,10732.966888618,5449.69193896777,3579.40772455031,5449.69193896777,20030.9309441712,0.50436667680287,2.20988912320905
