gvkey,GroupCount,mean_F_star,median_F_star,mode_F_star,std_F_star,min_F_star,max_F_star,skewness_F_star,kurtosis_F_star
8902,903,2366.67611526704,2379.04602978481,1835.72048081858,226.630857880354,1835.72048081858,2829.35096054748,-0.253013706741428,2.37629694503512
8972,4676,24228.5635115301,20213.645670319,12560.3776272248,9285.45325166932,12560.3776272248,51101.3930732669,1.22707062441138,3.31791307802317
9063,1185,4860.05202616023,4824.85345345242,3148.53297465418,825.918410931385,3148.53297465418,6672.40249569026,0.297826374158874,2.22742248849908
9135,4596,24575.4057017795,27446.9759185098,5597.5024298655,11457.1491168505,5597.5024298655,42291.0032635427,-0.403281686651186,1.59135980032988
9155,837,5091.61723278281,4869.95755311022,3888.06344612794,751.519874940073,3888.06344612794,7226.41138850089,0.673961996657886,2.79617497772545
9203,2322,4477.75847586009,4672.63020288155,2171.66345544444,1114.14881721844,2171.66345544444,7032.54964701358,-0.149246546581893,1.92257717648549
9215,814,13853.5939691374,13978.7388305117,4578.26937301583,3241.93020039505,4578.26937301583,19308.73938852,-1.25657830716418,4.85160292738876
9299,4868,4791.67677940437,4429.09183688075,2393.35455385083,1359.06634580245,2393.35455385083,7300.33898354935,0.177329789027365,1.67229274228854
9302,1537,1060.89673559916,1036.00951616778,578.697137681477,329.324366299835,578.697137681477,1915.21136997408,0.477019177836355,2.28216366704892
9359,3343,12011.845223874,11259.8676312167,7987.88003628912,3170.55109084246,7987.88003628912,24330.1777014911,1.84750497691723,6.26674720067164
9411,352,3908.78846574366,3834.4148870231,3370.43239767053,607.818221503122,3370.43239767053,11330.5063757418,6.42164504366246,67.5111255592646
9445,1654,6872.55352387303,6712.70416255596,5764.73203095062,714.3717725671,5764.73203095062,8957.28598181013,1.1547135151963,3.76890682434873
9465,720,27915.8196703049,28452.8197838912,17351.2000865119,7621.19028344974,17351.2000865119,51129.0698964614,0.817058776593498,3.61539233881028
9466,568,1420.98112341382,1423.44781127026,1202.83527653968,73.6086323672005,1202.83527653968,1604.87131220069,-0.481923517005456,3.53090778621977
9555,4798,5423.8927929617,4478.68851951087,1950.16107137328,1863.57757022341,1950.16107137328,9968.42157604139,0.621727183008962,2.14849040717793
9611,2355,4414.63946038459,4343.38624720027,2645.3055034383,1142.10367998241,2645.3055034383,7843.885739867,0.909696662546745,3.50776681348982
9613,1330,3503.46503626187,3422.64081592052,2996.98166484694,407.750722839518,2700.64564476074,4785.86117663964,1.18081841694904,4.00207223546263
9667,4795,12638.6879907313,6936.71661615652,2803.78755813027,10396.9660326453,2803.78755813027,46965.4463830971,1.30759006856498,3.69129602033676
9774,1559,4086.9919981456,3937.06579049219,3858.05892269751,531.305277585679,3020.18626354276,5465.23699225034,0.695074432203888,2.49177175892828
9783,1168,81014.2319083945,80910.8393227628,75656.1422178832,2240.21324264197,75656.1422178832,86533.747394672,0.431129896280832,2.66403102770364
9815,2215,2453.98687073473,2436.4139091397,1659.53054988789,335.62492802908,1659.53054988789,3321.87620886808,0.243805993831834,2.31021832743508
9818,4850,105459.261460448,95175.214134127,40303.770953815,34404.1195190763,40303.770953815,254566.3846649,1.49047993707021,5.15489476388902
9846,292,22575.2538257174,22752.5652441921,20283.0404288582,1226.81470259179,20283.0404288582,24858.6432064578,-0.223195906251157,1.94778328392254
9850,676,33778.3908536041,33247.8961874379,29506.8076461725,2620.45538872223,29506.8076461725,42423.8125737366,1.42039448765557,4.88772482674256
9882,3062,9807.07658376364,9157.56065996477,5965.86678407595,2281.47600035963,5965.86678407595,20708.4091733183,2.31450991038833,9.13146434207851
10002,1578,1440.07496392595,1502.85742007727,682.724097800053,478.227122802426,682.724097800053,2484.5796937803,0.0893346204827603,1.75623789374922
10016,1622,3177.30474321136,3149.61131325291,1799.68049408635,459.94259057982,1799.68049408635,4154.99169752738,-0.169545208159074,2.62739141936273
10121,462,75223.0259313632,74536.8038703744,65827.2071604967,6483.24132458891,65827.2071604967,88576.1532892502,0.505157287738018,2.57108238237957
10156,836,7843.95219554777,8249.97972189046,4344.8398233977,1916.04128049114,4344.8398233977,10808.4517125883,-0.629372717824004,2.18844329705828
10187,2066,133368.663764127,142174.523892553,92906.1038228138,21786.8372692291,92906.1038228138,162411.409199594,-0.606348333220585,1.86689536041874
10190,2748,7917.32538037298,6860.47447132485,3721.57231522326,3402.57069588582,3721.57231522326,15390.3609946194,0.620914354377618,1.93533334139074
10247,1911,14199.4902173377,14209.8366706057,10617.6817249943,1415.11346804683,10617.6817249943,18761.6877609718,0.332229578026743,3.43732555504483
