datadate,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
2017-10-30,166,17992.3219839514,7807.20555524768,358.212686244784,34576.6285487762,358.212686244784,363004.400846776,6.94906803134694,64.3951251157409
2017-10-31,166,18071.0587342793,7873.3506065884,356.593051610583,34650.7951551623,356.593051610583,363334.890688781,6.92193814951288,64.0267311480979
2017-11-01,166,18151.6773179528,7774.55470911958,356.738623687514,34742.5023385962,356.738623687514,363672.583757992,6.89422436895636,63.6034770748428
2017-11-02,167,18177.6572359589,7993.92145415521,350.391054538308,34630.0905618443,350.391054538308,363662.190330767,6.91926992810131,64.0614386952981
2017-11-03,166,18301.2668385376,8284.61453449125,350.053816057635,34728.4028804375,350.053816057635,364139.503512502,6.91304441173222,63.9319710224589
2017-11-06,166,18301.1082278878,8279.92454343833,348.444133703743,34783.5199770385,348.444133703743,364221.168918277,6.89286102555462,63.6128115562018
2017-11-07,166,18280.1234769966,8371.79255962296,347.496896612716,34730.2342823345,347.496896612716,363800.598235184,6.8955237628818,63.6742827224722
2017-11-08,167,18163.7985651609,8318.85034770784,346.68565894887,34646.2329253933,346.68565894887,364166.02789719,6.934881290551,64.2766021992306
2017-11-09,167,18162.2314658586,8344.01194703933,346.817927576417,34592.3950699877,346.817927576417,363595.669984151,6.93125168327817,64.2451010167767
2017-11-10,167,18083.7997972837,8402.20577600637,342.74975514669,34544.4206325555,342.74975514669,364392.833095287,6.97317829602096,65.006115966569
2017-11-14,167,17970.2337358783,8333.50618418636,341.957088320867,34436.4924564422,341.957088320867,363828.377663483,6.9968574887708,65.383064129305
2017-11-15,167,17738.6488704086,8134.61277884734,331.859248614947,34008.7978224502,331.859248614947,363984.249346562,7.17714009490521,68.4769119663583
2017-11-16,167,17867.0144708914,8250.25644526118,331.827606219493,34143.4815676881,331.827606219493,364491.098270793,7.13719952039594,67.8258435563041
2017-11-17,167,17852.7283112266,8288.71820572497,332.469502715478,33980.1935308236,332.469502715478,361859.6927254,7.09990877254221,67.2041917169089
2017-11-20,167,17908.099415058,8277.14761738365,332.603303141346,34059.7756695527,332.603303141346,361682.29188649,7.06301984356076,66.5576522313835
2017-11-21,167,17883.2235830005,8363.59080347627,331.774171530993,33998.0052641826,331.774171530993,360665.522096122,7.04960421448528,66.3269396029768
2017-11-22,168,17881.4825502283,8470.40869210689,331.377660927655,33807.5805548037,331.377660927655,359576.985102136,7.04784950865236,66.4848224272845
2017-11-24,168,17933.4145137685,8420.22846878444,330.854732744954,34111.6777440558,330.854732744954,363635.896537027,7.09648107032228,67.1754871015548
2017-11-27,167,17905.5646018312,8257.16738613355,331.778255304802,34213.2914427642,331.778255304802,363873.67921393,7.09061449715755,66.9869668914891
2017-11-28,167,17871.0483340391,8341.07945460648,330.69114211867,34122.1891613022,330.69114211867,362928.670016701,7.08725722188127,66.9631778113769
2017-11-29,167,17920.0050918679,8359.29010325081,330.807140523228,34221.603405889,330.807140523228,362826.387174125,7.05634969092772,66.3275136069061
2017-11-30,167,17962.6700294513,8326.51065568606,332.590750085909,34278.8792884188,332.590750085909,362980.720993327,7.03927649453451,66.0383247048161
2017-12-01,167,17924.887301785,8290.83696972229,330.235872331958,34181.532486426,330.235872331958,363136.550741624,7.0738184683145,66.7126332404316
2017-12-04,167,17968.7871849761,8300.43440006586,321.752276934891,34295.7130037256,321.752276934891,364562.318468658,7.08756823125568,66.8977046445793
2017-12-05,167,17991.2754976163,8363.42924485182,320.682364199457,34295.7854859865,320.682364199457,363652.098325932,7.05744328937817,66.3524062181803
2017-12-06,167,17975.7342886749,8255.74593162599,320.646277206783,34345.664852725,320.646277206783,364664.68870354,7.07622656887563,66.6705141007707
2017-12-07,167,17888.68966983,8252.34897876979,319.239254862567,33403.0918295111,319.239254862567,348616.982863119,6.81317251462128,62.4962993860838
2017-12-08,167,17767.5809121867,8247.86622791446,319.497368660819,32880.6305190365,319.497368660819,341363.465042053,6.7307157251661,61.2415924727977
2017-12-11,167,17782.308231964,8157.66812018399,322.579141367516,33021.6627532639,322.579141367516,342966.001919248,6.73822073101314,61.356893605448
2017-12-12,167,17793.7639791395,8204.48180769743,321.957583658503,33193.2153944791,321.957583658503,344946.102424677,6.76152160047577,61.6252747775099
2017-12-13,167,17724.2617024596,8189.28646215456,321.195042470129,32705.3832486647,321.195042470129,337879.858163167,6.66163566154715,60.1686523147457
2017-12-14,167,17715.6345015788,8472.87348549,321.404205776027,32587.9016853593,321.404205776027,335253.022797521,6.61198535580569,59.3343874454962
2017-12-15,167,17735.8889319182,8422.41209412681,320.08095671766,32719.3773967318,320.08095671766,336710.674022119,6.62884334765143,59.5161720505464
