datadate,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
2013-10-18,286,60983.978751742,18037.5115766365,862.909343374571,198053.493163329,862.909343374571,2430134.3623473,8.67139462790339,91.7048884244791
2013-10-21,286,61018.1830094979,18157.2475292445,861.37071343835,198116.26780936,861.37071343835,2431951.47799863,8.67459323524319,91.7800500156422
2013-10-22,286,61029.2892727237,18147.1426978235,860.905432009805,198082.240600411,860.905432009805,2431096.53650231,8.67310250194085,91.7450128412672
2013-10-23,286,61060.9978837285,18708.045870181,860.888369291209,198140.916407281,860.888369291209,2433194.35726,8.67811141734314,91.8573471260039
2013-10-24,286,61052.1979600578,18601.5828752987,860.625896780186,198311.257587468,860.625896780186,2433103.44424721,8.66680259575134,91.6078103969152
2013-10-25,286,61074.7406272187,18568.1325612377,860.615311855195,198293.155698577,860.615311855195,2432963.78633673,8.6668378098175,91.6118416376358
2013-10-28,286,61109.4679054505,18565.1930620205,861.020625145731,198318.753800929,861.020625145731,2433489.37001332,8.66622381989222,91.6103790485991
2013-10-29,285,61330.7031516868,18828.5944195058,860.650277335801,198673.767164142,860.650277335801,2432823.75557361,8.64308540224668,91.1609926791908
2013-10-30,285,61304.6090498717,18246.8807742906,860.194127254093,198589.399324871,860.194127254093,2430601.16799659,8.63695113661509,91.0450326619934
2013-10-31,285,61508.669038915,18205.2167772873,859.751614456107,200164.766146301,859.751614456107,2467114.06367255,8.70650365639659,92.5523531951297
2013-11-01,285,61542.0844800249,18211.4342774487,860.045582435778,200435.407200489,860.045582435778,2473041.23448861,8.71701436924249,92.7823249578482
2013-11-04,286,61531.8494226406,18604.8646666351,859.426597551921,200031.793059799,859.426597551921,2471895.96402552,8.72872026674037,93.0430635301431
2013-11-05,285,61504.7911209294,18618.1947847552,843.809439036633,200488.679376911,843.809439036633,2474643.48727437,8.71954248029169,92.8419338873058
2013-11-06,285,61573.1112847311,18656.3352924004,846.305113932398,200628.724992526,846.305113932398,2476888.73751461,8.71823641194892,92.8477608199802
2013-11-07,286,61412.2649738425,18639.9181356719,844.746565881067,200232.11934516,844.746565881067,2474647.05143814,8.72716251356337,93.0326606147761
2013-11-08,286,61435.5231479885,18700.4424027979,840.454444929381,200203.769002038,840.454444929381,2472962.07443773,8.70976708732432,92.7493138715384
2013-11-12,286,61596.9972470421,18670.0271063476,838.225649841966,200237.890484909,838.225649841966,2472524.27627886,8.70739094235642,92.6910552684094
2013-11-13,286,61596.7051331143,18721.4722770079,838.248621247969,200177.431090454,838.248621247969,2471847.97794949,8.70661126730097,92.6817267194743
2013-11-14,286,61624.0264604458,18761.1997096712,837.997725929271,200245.543754671,837.997725929271,2472552.58516315,8.70558488748936,92.6669952314133
2013-11-15,287,61586.4740399493,18835.9339898065,837.494887846758,199882.193947818,837.494887846758,2471815.96514761,8.71821655141115,92.9374460044437
2013-11-18,286,61588.0138935662,18812.9473420541,836.919788698104,200276.005028373,836.919788698104,2472971.02045899,8.70611786606235,92.674216512662
2013-11-19,286,61616.610452803,18832.0917113923,836.49654757863,200219.792354058,836.49654757863,2472154.62522802,8.70648916669318,92.6738028910358
2013-11-20,285,61786.0164742258,18814.8617027966,834.29487376565,200303.010622029,834.29487376565,2466128.83566798,8.67885552821159,92.083984889285
2013-11-21,285,61814.0862102652,18803.238220046,835.008151109051,200310.213038074,835.008151109051,2465186.31582565,8.67511667783407,92.0015914574435
2013-11-22,285,61833.6090268226,18728.115512255,834.992690118168,200253.332385072,834.992690118168,2464262.69776625,8.67199682254767,91.9513326830137
2013-11-25,285,61838.4970112635,18697.0702755187,834.248504297185,200283.110526028,834.248504297185,2464802.94767619,8.67479049440902,91.9958632771631
2013-11-26,284,61989.4521091823,18760.2085699974,833.127674465521,200734.598514386,833.127674465521,2466739.16210611,8.66495003319428,91.7679986019477
2013-11-27,284,62009.0617046103,18772.4039723125,833.762104204328,200765.19696391,833.762104204328,2467193.80226822,8.66338482797943,91.7499569002891
2013-11-29,284,62013.6957750289,18781.4614385954,834.105797731255,200802.447934699,834.105797731255,2468355.49004518,8.66554314387242,91.7989791815581
2013-12-02,285,61983.3349191155,18857.911743193,834.479841782146,200422.895828134,834.479841782146,2468118.4186312,8.68256891840002,92.1482005811308
2013-12-03,284,61973.2619718573,18777.2674943931,834.177368414156,200769.613731538,834.177368414156,2468095.76236486,8.66774744665818,91.832331076585
2013-12-04,284,61971.9078990017,18712.4574574275,834.86785189315,200747.052037137,834.86785189315,2467485.47062656,8.66718447367769,91.8144753328376
2013-12-05,284,61994.1356261608,18714.1652396349,834.403097934405,200899.950840665,834.403097934405,2470210.27374471,8.67222403889786,91.9098810193435
2013-12-06,284,61983.4217696595,18641.7937181582,834.423549634821,200784.566171077,834.423549634821,2469918.30567728,8.67634121844206,92.0107419806538
2013-12-09,284,62041.8357178612,18734.668169643,833.584538754384,200764.639768775,833.584538754384,2469900.91100151,8.67397062714639,91.9903528501912
2013-12-10,284,62057.4506979871,18749.075504397,833.992943710446,200824.906771683,833.992943710446,2471432.43420285,8.67645926145113,92.0509394324738
