gvkey,GroupCount,mean_ratio_F_star_F,median_ratio_F_star_F,mode_ratio_F_star_F,std_ratio_F_star_F,min_ratio_F_star_F,max_ratio_F_star_F,skewness_ratio_F_star_F,kurtosis_ratio_F_star_F
12395,914,0.189059746883257,0.189055327237457,-0.119961618210684,0.0846927944766143,-0.119961618210684,0.391817504429117,-0.268683583937921,3.26912439229295
12459,754,0.609490874205889,0.639946887632695,-0.261537004853055,0.296589143428549,-0.261537004853055,1.21256666763929,-0.548962505468411,3.40482738088264
12589,1140,0.128681675489632,0.102910718863717,-0.292335613584413,0.21332779639359,-0.292335613584413,0.991684953139238,1.3565418133176,6.0906665357357
12689,2569,0.17237508083049,0.0980524408252525,-0.225035179332695,0.216629331351024,-0.225035179332695,0.784055178951626,0.989548172271886,3.0669588865037
12726,3371,0.101494731931275,0.111722514241063,-0.0982673536643123,0.055908555666311,-0.0982673536643123,0.209152253126272,-1.12709964917793,4.43344685459721
12785,831,0.158928513620345,0.17202597970394,-0.533749043779842,0.296172058232902,-0.533749043779842,0.757560029911884,0.303328597146647,2.27791519643915
12884,423,1.47323303330673,1.4703403085803,1.21105118038898,0.110883800600271,1.21105118038898,1.66619839884593,-0.212691961115771,2.10133755563847
12886,1290,0.969366247684768,0.99027732476517,0.713338497230634,0.138187067056142,0.713338497230634,1.27240472482612,0.108733858976226,2.18582265005668
13125,1658,0.744345415024796,0.768185182373791,0.0843996451516392,0.197094312564268,0.0843996451516392,1.10172755984915,-0.631623411137516,2.76204420547737
13145,4794,0.660227913302755,0.789901921469994,-0.81332074702927,0.473734282617289,-0.81332074702927,1.56666541030119,-0.852999099021245,3.40230368621882
13312,443,1.29543834614988,1.30003091293156,0.856145165173167,0.116245857114374,0.856145165173167,1.49429254429716,-0.913243702539114,4.30249531838265
13380,1797,0.260533654731112,0.244626210200685,-0.371695585136759,0.215157702534115,-0.371695585136759,0.867860492699792,0.193572715330881,2.35447614249836
13421,573,1.30346665464773,1.2857537422895,1.01328594012183,0.110708041255598,1.01328594012183,1.54323463727941,-0.0184248365713098,2.25934674923282
13440,716,0.0792952942807099,0.0517144533223634,-0.233208969029497,0.219286478156613,-0.233208969029497,0.591803240326822,0.342678540488733,1.81221906570604
13498,4872,0.897470483770344,0.833203142085178,-0.0595102991678704,0.335858825311741,-0.0595102991678704,1.97798110277885,0.296096836652433,3.08288974129409
13510,334,0.238385809855424,0.280132717253293,-0.195797181848097,0.124249995801867,-0.195797181848097,0.399563015861861,-1.53093361502077,4.85158198513677
13561,4666,0.123775309320859,0.0990420306621347,0.0674077091507448,0.157223768962055,-0.164229344561546,0.668702373778641,1.57282693111444,5.44948243336753
13683,4872,0.706557004129933,0.88650860175272,-0.251167447021582,0.630477884443012,-0.251167447021582,1.8332309286823,0.0585858501223321,1.31319278159454
13709,175,0.41760435984621,0.0924531511686922,-0.100185709055818,0.505707770339433,-0.100185709055818,1.20021589480549,0.546375829082769,1.41229935552061
