gvkey,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
4605,1682,0.257757977223771,0.257757977223769,0.257757977223769,2.38768938533984e-15,0.257757977223769,0.257757977223769,-1,1
4611,2042,0.178129403297528,0.178129403297528,0.178129403297528,4.99722737166703e-16,0.178129403297528,0.178129403297528,-1,1
4622,1505,0.201797031854393,0.201797031854393,0.201797031854393,2.22118410679081e-16,0.201797031854393,0.201797031854393,1,1
4669,1495,0.204038269241266,0.204038269241265,0.204038269241265,9.44005344596212e-16,0.204038269241265,0.204038269241265,-1,1
4674,280,0.0442264666004563,0.0442264666004563,0.0442264666004563,4.17079084489797e-17,0.0442264666004563,0.0442264666004563,1,1
4723,3092,0.0561727923902516,0.056172792390252,0.056172792390252,3.53940828661163e-16,0.056172792390252,0.056172792390252,1,1
4818,355,0.309320149479109,0.309320149479108,0.309320149479108,5.55895015189901e-16,0.309320149479108,0.309320149479108,-1,1
4839,4836,0.0622188639335803,0.06221886393358,0.06221886393358,3.19222126055141e-16,0.06221886393358,0.06221886393358,-1,1
4844,1678,0.257380036354804,0.257380036354806,0.257380036354806,1.94346948234317e-15,0.257380036354806,0.257380036354806,1,1
4864,275,0.0868903349776022,0.0868903349776022,0.0868903349776022,4.17092675218721e-17,0.0868903349776022,0.0868903349776022,-1,1
4885,2237,0.28949152712075,0.28949152712075,0.28949152712075,4.44188503134668e-16,0.28949152712075,0.28949152712075,-1,1
4941,4407,0.126799319290494,0.126799319290493,0.126799319290493,1.27690135848715e-15,0.126799319290493,0.126799319290493,-1,1
4990,4839,0.249117948987224,0.24911794898722,0.24911794898722,3.8029068231059e-15,0.24911794898722,0.24911794898722,-1,1
5046,2021,0.161627083159061,0.161627083159061,0.161627083159061,1.11049779830208e-16,0.161627083159061,0.161627083159061,-1,1
5047,3274,0.125009384712239,0.125009384712238,0.125009384712238,1.30471132256078e-15,0.125009384712238,0.125009384712238,-1,1
5048,155,0.050087834446392,0.050087834446392,0.050087834446392,2.08841589768923e-17,0.050087834446392,0.050087834446392,1,1
5071,3584,0.107764517416844,0.107764517416845,0.107764517416845,1.01321987305075e-15,0.107764517416845,0.107764517416845,1,1
5073,1211,0.0863815538753297,0.0863815538753293,0.0863815538753293,4.16505637395762e-16,0.0863815538753293,0.0863815538753293,-1,1
5087,1683,0.188662602442691,0.188662602442692,0.188662602442692,1.33266360745447e-15,0.188662602442692,0.188662602442692,1,1
5135,653,0.0198185933978877,0.0198185933978878,0.0198185933978878,6.24979179249743e-17,0.0198185933978878,0.0198185933978878,1,1
5179,1711,0.196149480310579,0.196149480310578,0.196149480310578,1.49923926512242e-15,0.196149480310578,0.196149480310578,-1,1
5180,4599,0.166405156923749,0.166405156923745,0.166405156923745,4.10827186378238e-15,0.166405156923745,0.166405156923745,-1,1
5229,2701,0.176427230640002,0.176427230640002,0.176427230640002,3.05367865673295e-16,0.176427230640002,0.176427230640002,1,1
5234,4850,0.115892370059027,0.115892370059026,0.115892370059026,1.22137124814045e-15,0.115892370059026,0.115892370059026,-1,1
5301,759,0.160701679744729,0.160701679744729,0.160701679744729,3.33286536100756e-16,0.160701679744729,0.160701679744729,-1,1
5439,3472,0.272904273270064,0.272904273270068,0.272904273270068,3.99737858946574e-15,0.272904273270068,0.272904273270068,1,1
5492,1375,0.250622048095575,0.250622048095575,0.250622048095575,5.55313481215864e-17,0.250622048095575,0.250622048095575,-1,1
5518,3365,0.187229462527843,0.187229462527843,0.187229462527843,4.44155211070588e-16,0.187229462527843,0.187229462527843,-1,1
5543,335,0.292494109759883,0.292494109759883,0.292494109759883,3.89159327543015e-16,0.292494109759883,0.292494109759883,1,1
5568,291,0.169910123934369,0.169910123934369,0.169910123934369,1.39016944367458e-16,0.169910123934369,0.169910123934369,1,1
5597,1702,0.133135940998658,0.133135940998658,0.133135940998658,3.88692262312268e-16,0.133135940998658,0.133135940998658,1,1
5600,3405,0.139080212590769,0.139080212590768,0.139080212590768,1.49902121999821e-15,0.139080212590768,0.139080212590768,-1,1
5606,1234,0.130630439520463,0.130630439520463,0.130630439520463,4.99802915462674e-16,0.130630439520463,0.130630439520463,-1,1
5643,689,0.151770184980704,0.151770184980704,0.151770184980704,3.88860352923106e-16,0.151770184980704,0.151770184980704,-1,1
5650,4869,0.225113349618404,0.225113349618405,0.225113349618405,1.2768876092676e-15,0.225113349618405,0.225113349618405,1,1
5680,4787,0.195823007297201,0.1958230072972,0.1958230072972,1.3324068061115e-15,0.1958230072972,0.1958230072972,-1,1
5691,733,0.170996382614352,0.170996382614352,0.170996382614352,3.61068862330624e-16,0.170996382614352,0.170996382614352,1,1
