gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
3221,4798,19648.4120419612,14568.89843,9165.135,12047.5665580165,3971.3314,55193.11501,0.885261757015258,2.66077723605233
3226,4800,100494.787992285,76701.76756,91381.65183,53859.3480005486,16016.07359,239750.06686,0.520033351405297,1.93283069713828
3231,1075,8697.95023257935,9313.66865,9423.2786,1619.49477408833,3143.77788,10823.7376,-1.41791066829317,4.04562729679485
3243,586,209116.09664529,214816.43687,152920.8138,34485.8986550373,135187.97676,272130.80549,-0.297974498305876,1.91543316990751
3246,2153,1976.67277930794,1695.35448,1708.75636,1028.02228188482,362.5984,4497.27215,0.583420629081865,2.35315199957017
3278,3488,2532.26178661109,2307.8819,70.987,1522.88625107206,36.56556,7232.5132,0.970405042669985,3.69449171285323
3310,3136,12638.5591734655,12709.54575,18424.39396,1836.91850302526,7447.30998,18583.29704,0.247170277425898,4.25981415046642
3336,2189,7898.17322042028,8049.14894,5913.6181,1509.21653220273,3697.70003,11152.4608,-0.254901035552848,2.56698110333036
3362,968,15021.0720196488,14639.512765,11213.47378,1796.46704551859,10125.6357,18938.3696,-0.254398988393382,3.13724105319461
3413,3339,13340.1587493621,12472.28983,17421.21616,3145.08350761313,7470.7543,20912.2032,0.369334636002005,1.7987195265897
3416,1706,1931.77594616061,1923.56031,2235.24739,442.388413216328,609.3252,3158.81698,-0.141438739023619,3.30544434601597
3439,1652,3018.65488661017,3148.753335,2015.4141,772.769857017103,968.21088,4556.45088,-0.743947910694477,2.8484847215892
3497,1395,7500.71297924731,7494.78298,6705.04432,1660.6448482751,3176.74209,10951.28,-0.127965352051285,2.27048651983569
3502,2397,1112.32265773884,1133.12754,980.8266,367.198038672644,176.796,1877.2471,-0.3982306477024,2.5254366695476
3505,1250,6276.21727733544,6684.084885,5886.7586,1487.97360315082,3301.95816,9089.13,-0.340980390058964,1.91278160674817
3532,3665,23051.0995640862,22967.13573,1525.312,9740.56714013359,1048.652,45014.30235,-0.143448388363123,2.49311147441708
3580,1678,1959.1586985876,1893.30129,1314.8775,491.503521948417,659.88078,2961.65376,-0.220572331500594,2.39182792431407
3607,911,2119.71376125137,2217.85128,140.64362,887.413585027857,24.2651,4230.30762,-0.557578678413482,3.44413571762257
3650,4818,14824.3574455708,16947.37866,1147.06,9693.40789918617,813.197,35011.05585,-0.0799306105804664,1.51223679089413
