gvkey,GroupCount,mean_DD,median_DD,mode_DD,std_DD,min_DD,max_DD,skewness_DD,kurtosis_DD
13971,1197,2.62649074766902,2.69987104411397,2.75416155203281,0.188773021008879,1.89587886605563,3.38903558637178,-0.562754290825547,3.99706895747282
13988,2239,3.05612951989294,3.07100147290325,3.10068289111777,0.351484132891871,2.34491601953239,4.14187311313874,-0.104578039313511,1.95300463926718
13994,1591,2.92388902315058,2.97003827575722,3.69306302865279,0.350889447489865,2.11377555836988,3.93606772693579,-0.377023565124876,2.34905395361951
14065,545,1.68515226348399,1.64543969470245,1.64719148102709,0.0974804241927432,1.45702813394487,2.11632060848314,1.22543204531931,5.10647046764708
14078,1643,2.54229892694532,2.59632264901239,3.28136855607963,0.336345005569268,1.60567645396214,3.49044353137643,-0.724855132302457,2.81335636976811
14087,985,2.87146063655498,2.78230948689639,2.7867260350041,0.344754974115689,2.29854036595183,4.35908372254038,0.602712203345553,2.71879000641419
14163,1084,2.09525322883346,2.05227576731999,-0.00965621714566531,0.776499238252111,-0.00965621714566531,3.477773830821,-0.208779251624196,2.27847882640406
14313,3008,2.63573573523233,2.82868226675402,3.42064956474672,0.448720111147923,1.0723603661401,4.5412377022465,-0.605160893239321,2.67228831714846
14316,2595,2.96463860782831,2.97357020581186,3.62599516231164,0.307710296315656,1.95941242808242,4.14945204421685,-0.0795933959172436,3.92452084513235
14353,3114,2.63821601403499,2.74852969602855,3.35460825744878,0.398525450920895,1.44239509588056,4.21381070477827,-0.67203151773358,4.47877430917634
14359,2974,2.787144467642,2.83969731915387,2.68824589575875,0.302712744085812,1.92519553484762,4.07126809574596,-0.503271737926369,3.05704951144903
14369,2510,2.89228707755926,2.86568030071698,2.51064605251466,0.238719386239563,2.11972982576071,3.95394757582476,0.0969137689219337,3.13946921673728
14370,366,2.70076704198493,2.67856468295097,2.61094406707927,0.0444137599222341,2.61094406707927,2.79232826204612,0.569567591620103,2.04603535944352
14372,1234,1.43137122461681,1.48265030907167,0.750284559363349,0.545564740918836,-0.0049138677997817,2.84523998696694,-0.122282973454141,2.30097102716933
14391,1478,2.83995387649194,2.94911197613637,3.314167650791,0.34044079134617,2.01373165305275,3.72597023379511,-0.447859575063158,2.31136510565399
14412,123,1.87292796113044,1.87219988451373,1.82421217928749,0.0243200550671437,1.82421217928749,1.91042347465541,-0.390153238914425,2.13431877089363
14418,2559,2.64177400684191,2.7393460868913,1.5664481637587,0.396528726938546,1.5664481637587,3.37263826037302,-0.562620511472252,2.39808076536181
14447,4835,3.12210708699387,3.18460486320921,2.27780507366049,0.298378950830923,2.27780507366049,3.66489752863456,-0.682575070684224,2.74909072168041
14477,3804,2.91780551701553,3.00802229102471,3.85878661732081,0.402279390683467,1.76480239107749,3.85878661732081,-1.06019944794532,3.37957737551362
14489,3555,3.02410669737629,2.96016394238704,2.72065006355954,0.291780233367973,2.2127320524685,4.19217161023691,0.279596212099501,2.68760617278868
