datadate,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
2016-10-21,165,70620.7695471017,24599.13116,831.71,140909.039103962,831.71,1206824.96802,4.9167415976359,33.1519347780846
2016-10-24,165,70712.2229891289,24614.8938,838.96856,140481.934813484,838.96856,1200068.05863,4.88569515409018,32.7979259780434
2016-10-25,165,70342.9676984593,23323.0018,835.94416,140273.402505978,835.94416,1193720.6589,4.86858847808678,32.5195941902615
2016-10-26,165,70290.5421648546,23155.46084,817.49532,139989.425139186,817.49532,1190854.09128,4.86121194489843,32.4465305509664
2016-10-27,165,69963.204321013,23004.0208,822.6368,138733.450001841,822.6368,1171197.6276,4.81973000572409,31.8449356383226
2016-10-28,165,69903.0935542161,22568.130281,818.1002,138328.556840391,818.1002,1166283.51168,4.79925174962445,31.6368191716701
2016-10-31,166,70877.681803353,22620.6231745,815.68068,138661.649701101,815.68068,1175906.98869,4.78475010546883,31.7455499756658
2016-11-01,166,70369.1778563851,22683.3419515,792.3928,137299.716069608,792.3928,1167307.28583,4.78515301064706,31.8578804848164
2016-11-02,166,69951.7944941665,22791.024532,794.50988,136302.225347944,794.50988,1155431.50569,4.76251408263009,31.558320343959
2016-11-03,166,69731.2264348603,23124.9320515,806.0026,135946.735380392,806.0026,1153383.95739,4.77303461161135,31.6728652168561
2016-11-04,166,69210.3431618094,22833.0404115,812.58554,134722.92455622,812.58554,1144989.00936,4.78709482368617,31.8802321287268
2016-11-07,166,70397.1029245953,23192.0510805,835.94965,137428.142813873,835.94965,1168740.56964,4.81377838612444,32.1489673462628
2016-11-08,166,70523.4243151941,23308.8875825,837.16337,137378.335533191,837.16337,1170788.11794,4.81037241753168,32.2052296304124
2016-11-09,166,70486.5686171461,23188.0031855,834.12907,136357.539954762,834.12907,1149493.61562,4.75040157784526,31.3721704866127
2016-11-10,166,70854.2696099005,23247.15919,851.72801,136403.671246427,851.72801,1134341.7582,4.67317208831739,30.3069697264121
2016-11-14,166,70634.1338384299,23503.4665215,864.16864,135210.211734604,864.16864,1108133.13996,4.596403194653,29.2787116727359
2016-11-15,166,71019.3924535261,23637.509082,869.32695,136410.930856931,869.32695,1119189.90078,4.6140705130078,29.435386733779
2016-11-16,166,70577.3589297096,23310.4758875,877.82299,134948.967565094,877.82299,1105880.83683,4.58002043829211,29.1017714649873
2016-11-17,166,70911.6854318628,23544.2824395,862.65149,135830.618585135,862.65149,1113661.52037,4.58611142923697,29.1533433309861
2016-11-18,166,70413.5630509941,23285.9468335,876.30584,135232.265673926,876.30584,1111613.97207,4.60679883175933,29.3855438606296
