gvkey,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
14391,1420,1680.42650107174,1710.42242706143,722.260849617413,414.084093422523,722.260849617413,3271.78545379545,-0.280219992204967,3.20365644674303
14412,121,1290.4368659737,1199.36044239802,430.039122721878,383.742051461784,430.039122721878,2189.69551703152,1.18087288247986,3.48881139754734
14418,2557,6087.92227125069,5730.51884966925,182.881115758102,1684.11033537707,182.881115758102,11739.4764461084,0.758429442669475,3.19786847207235
14447,4833,19930.5316001309,17578.0275896208,2446.07804163111,14201.1599114023,2446.07804163111,71596.2007465053,1.44132307663274,5.13213643269372
14477,3792,4202.10592108987,4138.03079617415,2709.72963265274,783.072299716619,2709.72963265274,10194.4902253465,0.499997103260898,3.52394003653489
14489,3524,15227.6132671155,15413.21517627,261.759620165059,3542.15435508392,261.759620165059,30747.148335949,0.158452307808111,2.62710329317623
14535,1075,512.90349518577,570.289750370345,147.506010558333,189.768487453756,147.506010558333,953.080945825881,-0.317992065826189,1.79916164401304
14538,4157,10335.1909401359,9210.01678547329,150.890949136435,6034.88547255335,150.890949136435,32881.980768739,1.07945372935199,4.86936640259921
14590,1205,22587.6092770836,20939.0934856615,10781.2418331939,7452.67955225772,10781.2418331939,53459.2484379699,0.694161350842734,3.3005308720212
14605,3684,19248.6641029933,19198.1185270262,7834.34037279369,3964.85769658633,7834.34037279369,36946.6090514175,0.453686883842016,4.93630214851722
14611,969,3081.00066928078,3141.72305736785,1396.76458133399,599.723122033109,1396.76458133399,5038.57012868073,-0.355243459237368,2.63015577469014
14620,4786,6376.15300068605,6101.27525515316,1803.73588117338,1635.33683873657,1803.73588117338,12193.3517931561,0.830279992730159,3.69047691090605
14624,2170,2346.02851451051,2185.61271842049,915.165571696306,653.067752437174,915.165571696306,3955.97554207266,0.437021803896727,2.41120272719384
14790,829,707.898499095026,679.042847191895,377.023195627073,133.592811988831,377.023195627073,1251.37442127134,0.865234272669493,3.47816870492219
14793,1167,2743.72908172844,2546.45303960257,621.323528622616,1066.48988939086,621.323528622616,5060.76219247884,0.441640974604984,2.06159281366568
