gvkey,GroupCount,mean_F,median_F,mode_F,std_F,min_F,max_F,skewness_F,kurtosis_F
8358,1996,2905.05079033066,2930.951,2936.611,629.699131133454,2055.5935,4100.6045,0.282730997105728,1.65327155000294
8431,3331,14298.6455445812,12844.4,10662.737,4121.16030504673,9017.5195,23499,0.787866666951582,2.48148324187233
8455,1791,8829.60552763819,8370.5,7852.5,1244.03745914323,7324,12258,1.22184815250185,3.74457089827989
8463,2610,2505.41404042146,1646.961,1165.092,1373.1320910757,862.385,4815.6,0.313695521319955,1.3857204773844
8475,1875,881.055954933331,894.9875,817.975,59.5958008976475,775.506,978.8475,-0.0676418971517959,1.92886916638999
8479,2780,15562.0559352518,11996,12907,8716.52594109871,7196,35068.5,1.43703288351996,3.49111584886801
8530,3848,51104.8332900208,58770,49518,15832.8839005352,22162,79864,-0.249860124073125,1.63729762230354
8539,1500,19942.237,20015,18408.5,833.48249294253,18408.5,21733.5,-0.119849437062315,2.50612947723705
8543,487,22772.8511293635,20360.5,19647.5,5849.85973486602,16014.5,45057,2.81520264417281,10.7779821712155
8544,3163,3276.43249051534,2751.725,2272.34,1217.46319774129,1833.4975,6006.991,0.605062692542566,1.84390847221901
8546,3028,16121.5414010898,16251.04,13080.3005,1943.78672837994,11173.3365,21847.252,-0.236831668406485,3.74122697740816
8549,1071,46239.6083099907,54696,53694,17276.5471646038,12709.5,65730,-0.885259347527253,2.24055767450783
8606,263,5528.91761026615,5748.2875,5748.2875,417.313448732834,5071.9495,6102.172,-0.0455875481104304,1.25057591052191
8692,1127,553.553483584739,544.558,548.1065,122.793833690124,324.7085,962.827,0.737470262397563,5.90297163280692
8694,1950,6444.70766666666,6427.75,6427.75,775.704395482121,2310.15,7523,-3.70417052248125,20.9243564342979
8717,1602,1484.82415730337,1476.25,1255.6,254.026223754258,955,2040.35,0.212823631046481,2.44087694900636
8762,4864,43310.6453536184,48400.5,50067,11741.0517729936,16111.5,57179,-1.22705710580916,3.00272781810203
8789,633,19702.0773143759,19592.442,19381.897,422.106035042352,18681.058,20449.813,0.755544468369092,2.47402511599265
8810,3267,13312.2399755127,12574.5,17599.5,2168.28459609643,11104,19536,1.32302615965947,3.57509012140837
8818,764,2902.86204123036,2965.2065,2965.2065,240.56661009577,2476.5675,3318.7315,-0.268419834021533,2.05673703376317
8823,711,2795.99456751055,2702.2545,2364.0515,441.863198159928,2296.159,3937.021,1.35466762482094,3.96334602455491
8870,1529,4785.82938477191,4674.18308410476,5677.40640369367,429.638802143773,3136.85450618496,6644.21617245218,1.03605288894058,8.53663271737249
8902,903,1380.40420708749,1384.4675,1384.4675,150.374853830133,1061.1415,1557.706,-0.863710487382033,2.8409077420686
8972,4676,10647.3445252352,10246,10531.5,1612.9866833078,7378.5,16051,0.328498185383297,2.34386989797853
9063,1185,3568.59126582278,3801.7,3893.1,530.711826712723,2172.35,4202.45,-1.31298181839467,3.71825349945172
9135,4596,9963.24776131418,10786.2765,11104.607,2045.53281490217,6821.658,15836.1385,-0.0152675077855055,2.14201117453369
9155,837,4316.72737037038,4038.165,3653.1595,901.531844748504,3509.0515,6311.3005,1.50290967895876,3.6098357767685
9203,2322,1913.10837639965,1908.4,2398.15,273.348446139983,1547,2398.15,0.222944819258721,1.62710848211376
9215,814,6193.99063461534,6342.46712837497,6495.42409661289,1078.73930309514,2966.91136974037,7665.47237412785,-1.67697709174075,5.96544445317203
9299,4868,3924.03654467952,3254.4645,5157.1195,1433.27821847676,2233.5185,7402.632,0.891948634361106,2.81608493528809
9302,1537,812.649462914768,764.498,679.419,180.658913432087,526.5885,1136.1,0.32330840731435,1.91395500420293
9359,3343,7407.93163326353,7413.65,7598.55,521.661114866155,5075.15,8600.4,-0.371654538307911,4.44750774507951
9411,352,1558.05823863636,1387,1387,706.111126690957,1310.5,4585,4.02935007217806,17.3717780269221
9445,1654,4205.30562273277,4070.5,3558.5,572.266387061358,3478,5566.5,0.789867687333851,2.76985076629613
9465,720,8409.55232916666,7747.7305,9433.525,1314.86002872315,7054.1285,11590.5415,0.983093955274524,3.17105042972927
9466,568,790.613116197182,778.25,967.45,104.548504939005,628.6,967.45,0.130580744541405,2.03998544003364
9555,4798,3153.17788453522,2541.35,2310.5,1254.01841149555,1159.2915,5696.5,0.371843934468796,2.01010743494991
9611,2355,3289.09715583865,3430.0005,2111.8325,1253.87321711205,1762.776,6062.138,0.40341543872473,1.90455033805844
9613,1330,1501.04729323308,1494.0445,1453.5245,58.7742390372223,1414.857,1636.52,0.448481265817986,2.55528615996474
9667,4795,4108.475296976,2937.497,1747.487,3104.39594987047,1586.959,11890.647,1.57445478089886,3.83179569373241
9774,1559,2943.27203335472,2959.5,2495.55,466.92851986239,2075.15,3853.05,0.204327440056442,2.24398137934513
9783,1168,77866.9327910959,76983.5,80700.5,3673.11192957591,69103.5,86225,0.566976062019716,2.78803332475199
9815,2215,1203.43316004514,1230.641,1316.846,107.387880825558,1000.7195,1385.091,-0.471999969056733,2.15465837216988
9818,4850,70900.1621891756,73599,32561,24360.8281493513,31463.877,129830.5635,-0.0583332401018052,1.83528057249715
9846,292,16363.2465753425,16010,15829.5,1020.43968228271,15829.5,20301.5,2.88828623051447,10.4993883748839
9850,676,17616.178193787,18068.8285,18548,1509.46789682656,14957,20208.5575,-0.331593957463921,2.20945368254525
9882,3062,6115.21447517962,5955,5302,2294.43569987751,2456.084,11453,0.222611082970098,2.02602080240938
10002,1578,1193.94485804816,1165.2295,1679.807,264.908748013707,798.034,1679.807,0.30064694655107,1.76573082143308
10016,1622,1770.84651664612,1873.55,2374.3,429.94706357714,1057.65,2380.45,-0.0994083367921039,1.42794964112531
10121,462,70737.4047619048,69619,68297.5,5202.56174015335,63519.5,80801.5,0.541524968348226,2.55438999654217
10156,836,6108.15789473684,6522,7538,1493.7663111761,3172,7793.5,-0.968993102696968,2.48958017302782
10187,2066,127489.356519361,140329.278,106592.03,23465.3072037165,84530.2275,153549.037,-0.682521843051968,1.83574101319815
